"TM","STN","RN_DAY"
19700602,244,-9
19700716,244,134.8
19700905,244,-9
19701130,244,-9
19710104,244,-9
19710105,244,-9
19710120,244,-9
19710124,244,-9
19710209,244,-9
19710628,244,-9
19710707,244,-9
19710816,244,-9
19710820,244,-9
19710925,244,-9
19711101,244,-9
19720123,244,-9
19720301,244,-9
19720329,244,49
19720402,244,-9
19720419,244,-9
19720504,244,54
19720508,244,62
19720722,244,-9
19720819,244,120.5
19720829,244,-9
19720924,244,-9
19721115,244,33
19721121,244,-9
19730101,244,-9
19730102,244,8.8
19730103,244,4.1
19730104,244,1
19730105,244,-9
19730106,244,8
19730107,244,16.5
19730108,244,0
19730109,244,-9
19730110,244,-9
19730111,244,-9
19730112,244,-9
19730113,244,-9
19730114,244,-9
19730115,244,-9
19730116,244,0
19730117,244,7.5
19730118,244,0.5
19730119,244,-9
19730120,244,-9
19730121,244,-9
19730122,244,-9
19730123,244,3.5
19730124,244,18
19730125,244,3
19730126,244,1.3
19730127,244,-9
19730128,244,-9
19730129,244,-9
19730130,244,-9
19730131,244,-9
19730201,244,-9
19730202,244,-9
19730203,244,-9
19730204,244,-9
19730205,244,-9
19730206,244,-9
19730207,244,-9
19730208,244,-9
19730209,244,-9
19730210,244,-9
19730211,244,-9
19730212,244,-9
19730213,244,-9
19730214,244,-9
19730215,244,-9
19730216,244,-9
19730217,244,-9
19730218,244,-9
19730219,244,-9
19730220,244,-9
19730221,244,-9
19730222,244,-9
19730223,244,-9
19730224,244,-9
19730225,244,-9
19730226,244,-9
19730227,244,-9
19730228,244,-9
19730301,244,-9
19730302,244,-9
19730303,244,-9
19730304,244,0
19730305,244,0.2
19730306,244,-9
19730307,244,-9
19730308,244,0.6
19730309,244,3
19730310,244,2
19730311,244,-9
19730312,244,0
19730313,244,-9
19730314,244,-9
19730315,244,0
19730316,244,5.5
19730317,244,-9
19730318,244,-9
19730319,244,-9
19730320,244,1
19730321,244,-9
19730322,244,-9
19730323,244,-9
19730324,244,-9
19730325,244,-9
19730326,244,-9
19730327,244,-9
19730328,244,-9
19730329,244,0
19730330,244,-9
19730331,244,-9
19730401,244,-9
19730402,244,-9
19730403,244,-9
19730404,244,-9
19730405,244,-9
19730406,244,-9
19730407,244,0.5
19730408,244,-9
19730409,244,-9
19730410,244,-9
19730411,244,22
19730412,244,5
19730413,244,0
19730414,244,3
19730415,244,19.5
19730416,244,47
19730417,244,1
19730418,244,-9
19730419,244,-9
19730420,244,-9
19730421,244,0
19730422,244,-9
19730423,244,26.5
19730424,244,36
19730425,244,-9
19730426,244,0
19730427,244,-9
19730428,244,-9
19730429,244,-9
19730430,244,-9
19730501,244,46.5
19730502,244,6
19730503,244,-9
19730504,244,0
19730505,244,0
19730506,244,-9
19730507,244,42
19730508,244,-9
19730509,244,-9
19730510,244,-9
19730511,244,-9
19730512,244,-9
19730513,244,-9
19730514,244,-9
19730515,244,2.5
19730516,244,8.5
19730517,244,6
19730518,244,1
19730519,244,-9
19730520,244,-9
19730521,244,-9
19730522,244,-9
19730523,244,-9
19730524,244,-9
19730525,244,-9
19730526,244,-9
19730527,244,-9
19730528,244,9.5
19730529,244,0
19730530,244,-9
19730531,244,-9
19730601,244,-9
19730602,244,-9
19730603,244,0
19730604,244,0.5
19730605,244,-9
19730606,244,6
19730607,244,0
19730608,244,0
19730609,244,-9
19730610,244,0
19730611,244,-9
19730612,244,0.5
19730613,244,0.5
19730614,244,12
19730615,244,-9
19730616,244,1.5
19730617,244,-9
19730618,244,-9
19730619,244,-9
19730620,244,-9
19730621,244,-9
19730622,244,-9
19730623,244,-9
19730624,244,-9
19730625,244,-9
19730626,244,19
19730627,244,1
19730628,244,1
19730629,244,38.5
19730630,244,1
19730701,244,0
19730702,244,14
19730703,244,8
19730704,244,5
19730705,244,1.5
19730706,244,0
19730707,244,-9
19730708,244,-9
19730709,244,0
19730710,244,-9
19730711,244,0
19730712,244,-9
19730713,244,-9
19730714,244,-9
19730715,244,-9
19730716,244,-9
19730717,244,-9
19730718,244,8
19730719,244,30
19730720,244,0
19730721,244,0
19730722,244,0
19730723,244,0
19730724,244,-9
19730725,244,4.5
19730726,244,4.5
19730727,244,12
19730728,244,-9
19730729,244,0
19730730,244,74
19730731,244,-9
19730801,244,0.5
19730802,244,21
19730803,244,125.5
19730804,244,-9
19730805,244,-9
19730806,244,-9
19730807,244,-9
19730808,244,-9
19730809,244,-9
19730810,244,0
19730811,244,0
19730812,244,-9
19730813,244,-9
19730814,244,8
19730815,244,-9
19730816,244,0.5
19730817,244,21
19730818,244,1
19730819,244,0
19730820,244,-9
19730821,244,-9
19730822,244,-9
19730823,244,0
19730824,244,1.5
19730825,244,13
19730826,244,1
19730827,244,-9
19730828,244,-9
19730829,244,20.5
19730830,244,0
19730831,244,-9
19730901,244,35.5
19730902,244,7
19730903,244,0
19730904,244,0
19730905,244,0
19730906,244,0
19730907,244,0
19730908,244,2
19730909,244,73.5
19730910,244,11
19730911,244,0
19730912,244,0
19730913,244,-9
19730914,244,0
19730915,244,0
19730916,244,0
19730917,244,0
19730918,244,-9
19730919,244,14.5
19730920,244,0
19730921,244,0
19730922,244,0
19730923,244,0
19730924,244,0
19730925,244,-9
19730926,244,8.5
19730927,244,-9
19730928,244,-9
19730929,244,6.5
19730930,244,-9
19731001,244,0
19731002,244,0
19731003,244,1
19731004,244,2
19731005,244,10.5
19731006,244,-9
19731007,244,1
19731008,244,-9
19731009,244,-9
19731010,244,-9
19731011,244,-9
19731012,244,57.5
19731013,244,1.5
19731014,244,-9
19731015,244,-9
19731016,244,-9
19731017,244,0
19731018,244,-9
19731019,244,-9
19731020,244,0
19731021,244,2.5
19731022,244,-9
19731023,244,-9
19731024,244,6
19731025,244,-9
19731026,244,-9
19731027,244,15
19731028,244,14
19731029,244,-9
19731030,244,-9
19731031,244,-9
19731101,244,-9
19731102,244,-9
19731103,244,-9
19731104,244,-9
19731105,244,-9
19731106,244,-9
19731107,244,-9
19731108,244,5.5
19731109,244,3
19731110,244,6
19731111,244,3.5
19731112,244,-9
19731113,244,-9
19731114,244,0.5
19731115,244,0
19731116,244,0.5
19731117,244,4.5
